,matchId,contestantId,periodId,timeMin,timeMinSec,timestamp,type,decision,outcome,playerId
62,9q2kjf87buyy2jcqhpm1e23xm,cpqaizhc99tbsqm6h2cgampio,2,95,94:19,2020-03-03T01:22:48Z,Penalty not awarded,Cancelled,Penalty,748h26tk6u48g3iwpcwjsbe8l
63,60xsjzadmkabw8h8cn1cd2y38,cpqaizhc99tbsqm6h2cgampio,1,35,34:08,2020-12-05T20:35:26Z,Card upgrade,Cancelled,Card upgraded,2mv48xbwjnyqclrsgn2oedtjp
64,e9kndb1sooxtzw0qm0s2cl27e,1f72vqlndphmzn45x0nhdqk3e,1,22,21:34,2020-08-30T14:54:07Z,Goal awarded,Cancelled,No goal,21yxomlpwzh54k7tivw3j457u
65,e4i6zutpz5eyuxgoa9tyegqy2,eizgmllil1zrzpk6zbue0hl7m,2,90,89:49,2020-09-24T20:48:15Z,Penalty awarded,Cancelled,No penalty,3893inqanep5u2ivre7qo33kl
66,6yruifsfsg9l59g2gorbdt0tm,7gkwmrw0cjz0m168ouw00z4gy,1,45,44:28,2020-02-16T21:44:42Z,Penalty not awarded,Confirmed,No penalty,d3swiv7qjcdrnf2i6y5egz6qd
67,71ria8e7shav0bri3ud4r3td6,1zsb1ovzidi8rft1vzw4me71m,1,42,41:24,2020-09-08T22:10:08Z,Card upgrade,Cancelled,Card upgraded,9ynfb3x8vdydd82128cppk8gl
68,71ria8e7shav0bri3ud4r3td6,1iy5a1mzucfenathcnlhmp95a,2,80,79:34,2020-09-08T23:09:54Z,Goal awarded,Cancelled,No goal,2ztfs9tfd4ztq5fleycxf11t6
69,191g99vlhfed82gq6lput4mzu,7gkwmrw0cjz0m168ouw00z4gy,1,12,11:19,2020-01-26T15:11:32Z,Red card given,Cancelled,No red card,5hjsl94zct7s9kakzo0avb845
70,191g99vlhfed82gq6lput4mzu,7gkwmrw0cjz0m168ouw00z4gy,1,34,33:25,2020-01-26T15:33:38Z,Penalty not awarded,Cancelled,Penalty,3k8wr5chjtaakdyyftcqpak0l
71,191g99vlhfed82gq6lput4mzu,7gkwmrw0cjz0m168ouw00z4gy,1,52,52:00,2020-01-26T15:52:12Z,Penalty not awarded,Confirmed,No penalty,4s0cgwchahxqfowf7v1edb5cl
72,6xmgw01uptguhezw7cseso7ze,2nxp7ufclxwbtaozvx5zj1zym,2,95,94:03,2020-02-08T01:49:55Z,Goal awarded,Cancelled,No goal,83pehcs280uby1806wow0dwb9
